!
! This file has been converted from BPP_FlameMaster.trans
!
! For detailed information about the species properties and their
! sources, please refer to the original file.
!
! This file is provided for your convenience and has not been tested 
! fully. If you find any problem with this file, please contact one of
! the following authors 
! > Guillaume Blanquart : gblanqu@stanford.edu
! > Heinz Pitsch : 	 h.pitsch@stanford.edu
!

!SpecName      shape     eps/k     sigma     Dummy     Dummy     Zrot
N-C3H7CHO          2   464.200     5.009     0.000     0.000     1.000
C4H7               2   355.000     4.650     0.000     0.000     1.000
C7H13              2   457.800     6.173     0.000     0.000     1.000
C5H9               2   396.800     5.458     0.000     0.000     1.000
C4H7O              2   496.000     5.200     0.000     0.000     1.000
N-C3H7O            2   481.500     4.997     0.000     0.000     0.000
I-C8H18            2   458.500     6.414     0.000     0.000     0.000
Y-C7H15            2   437.300     6.168     0.000     0.000     0.000
I-C4H8             2   344.500     5.089     0.000     0.000     0.000
I-C3H7             2   303.400     4.810     0.000     0.000     0.000
T-C4H9             2   352.000     5.240     0.000     0.000     0.000
C-C8H17            2   458.500     6.414     0.000     0.000     0.000
Y-C7H14            2   439.200     6.151     0.000     0.000     0.000
D-C8H17O           2   581.300     6.506     0.000     0.000     0.000
CH3COCH3           2   435.500     4.860     0.000     0.000     0.000
I-C4H7             2   355.000     4.650     0.000     0.000     0.000
X-C7H13            2   439.200     6.151     0.000     0.000     0.000
I-C3H5CHO          2   436.400     5.352     0.000     0.000     0.000
T-C4H9O            2   496.000     5.200     0.000     0.000     0.000
I-C4H7O            2   496.000     5.200     0.000     0.000     0.000
C5H4CH2            2   464.800     5.290     0.000     0.000     1.000
A1X-C6H5           2   464.800     5.290     0.000     0.000     1.000
A1C2H2             2   546.200     6.000     0.000     0.000     1.000
A1C2H3             2   546.200     6.000     0.000     0.000     1.000
A1C2H              2   535.600     5.720     0.000     0.000     1.000
A1C2HY             2   535.600     5.720     0.000     0.000     1.000
A1C2H3Y            2   546.200     6.000     0.000     0.000     1.000
A2X-C10H7          2   630.400     6.180     0.000     0.000     1.000
A2-C10H8           2   630.400     6.180     0.000     0.000     1.000
A2Y-C10H7          2   630.400     6.180     0.000     0.000     1.000
A2C2H2A            2   693.100     6.470     0.000     0.000     1.000
A2C2H2B            2   693.100     6.470     0.000     0.000     1.000
A2C2HA             2   693.100     6.470     0.000     0.000     1.000
A2C2HB             2   693.100     6.470     0.000     0.000     1.000
A2C2HAY            2   693.100     6.470     0.000     0.000     1.000
A2C2HBY            2   693.100     6.470     0.000     0.000     1.000
A2R5               2   693.100     6.470     0.000     0.000     1.000
A2R5X              2   693.100     6.470     0.000     0.000     1.000
A2R5C2H2           2   772.000     6.960     0.000     0.000     1.000
A2R5C2H            2   772.800     6.940     0.000     0.000     1.000
A2R5C2HY           2   772.800     6.940     0.000     0.000     1.000
P2-C12H10          2   676.500     6.310     0.000     0.000     1.000
P2X-C12H9          2   676.500     6.310     0.000     0.000     1.000
A3X-C14H9          2   772.000     6.960     0.000     0.000     1.000
A3-C14H10          2   772.000     6.960     0.000     0.000     1.000
A3Y-C14H9          2   772.000     6.960     0.000     0.000     1.000
A3R5X              2   837.500     7.280     0.000     0.000     0.000
A3R5               2   837.500     7.280     0.000     0.000     0.000
A4-C16H10          2   834.900     7.240     0.000     0.000     1.000
A4X-C16H9          2   834.900     7.240     0.000     0.000     1.000
A4R5               2   834.900     7.240     0.000     0.000     1.000
FLTN               2   834.900     7.240     0.000     0.000     1.000
C5H6               2   400.000     5.200     0.000     0.000     0.000
C5H5               2   400.000     5.200     0.000     0.000     1.000
P3-C5H5O           2   484.000     5.100     0.000     0.000     0.000
S4-C5H5O           2   617.000     5.820     0.000     0.000     1.000
C5H4O              2   484.000     5.100     0.000     0.000     0.000
C4H4O              2   357.000     5.180     0.000     0.000     1.000
C9H8               2   630.400     6.180     0.000     0.000     1.000
C9H7               2   630.400     6.180     0.000     0.000     1.000
A1CH2              2   495.300     5.680     0.000     0.000     1.000
C9H6O              2   630.400     6.180     0.000     0.000     1.000
O-C6H4             2   464.800     5.290     0.000     0.000     1.000
A1CH3              2   495.300     5.680     0.000     0.000     1.000
A1OH               2   410.000     5.920     0.000     0.000     0.000
HOA1CH3            2   495.300     5.680     0.000     0.000     1.000
OA1CH3             2   495.300     5.680     0.000     0.000     1.000
A1CH2O             2   495.300     5.680     0.000     0.000     1.000
A1CH2OH            2   495.300     5.680     0.000     0.000     1.000
A1CHO              2   495.300     5.680     0.000     0.000     1.000
A1C2H5             2   546.200     6.000     0.000     0.000     1.000
A1C2H4             2   546.200     6.000     0.000     0.000     1.000
A2CH3              2   693.100     6.470     0.000     0.000     1.000
A2CH2              2   693.100     6.470     0.000     0.000     1.000
A2OH               2   630.400     6.180     0.000     0.000     1.000
C-C6H5O            2   410.000     5.920     0.000     0.000     0.000
OC6H4O             2   464.800     5.290     0.000     0.000     1.000
A2O-C10H7O         2   630.400     6.180     0.000     0.000     1.000
